554,"[('Ver', 676), ('Gua', 122), ('Per', 120), ('Alb', 120), ('Rus', 118), ('Lan', 113), ('Str', 113), ('Alo', 110), ('Ham', 109), ('Oco', 109), ('Mag', 108), ('Sar', 104), ('Pia', 102), ('Hul', 101), ('Tsu', 99), ('Sai', 93), ('Ric', 89), ('Vot', 89), ('Lec', 81), ('Gas', 76)]"
553,"[('Ver', 676), ('Lec', 123), ('Hul', 123), ('Pia', 122), ('Rus', 118), ('Per', 117), ('Gua', 115), ('Tsu', 114), ('Lan', 111), ('Vot', 111), ('Alo', 107), ('Ham', 106), ('Str', 106), ('Ric', 105), ('Mag', 100), ('Sai', 99), ('Alb', 96), ('Oco', 88), ('Gas', 63), ('Sar', 52)]"
553,"[('Ver', 676), ('Lan', 123), ('Gua', 123), ('Sai', 122), ('Pia', 121), ('Gas', 121), ('Vot', 119), ('Per', 109), ('Rus', 108), ('Sar', 108), ('Ric', 105), ('Alo', 104), ('Hul', 104), ('Alb', 102), ('Lec', 99), ('Tsu', 96), ('Mag', 96), ('Ham', 76), ('Oco', 73), ('Str', 67)]"
553,"[('Ver', 676), ('Lan', 123), ('Sar', 123), ('Oco', 123), ('Per', 121), ('Mag', 120), ('Lec', 117), ('Alo', 117), ('Vot', 112), ('Gua', 112), ('Rus', 110), ('Tsu', 108), ('Hul', 101), ('Str', 100), ('Sai', 98), ('Gas', 92), ('Ric', 81), ('Pia', 79), ('Alb', 74), ('Ham', 65)]"
553,"[('Ver', 676), ('Ric', 123), ('Alo', 123), ('Gua', 123), ('Rus', 122), ('Mag', 117), ('Ham', 115), ('Sai', 114), ('Gas', 112), ('Hul', 109), ('Oco', 106), ('Tsu', 104), ('Lan', 99), ('Sar', 95), ('Lec', 92), ('Pia', 90), ('Vot', 89), ('Alb', 85), ('Str', 81), ('Per', 77)]"
553,"[('Ver', 676), ('Ham', 123), ('Oco', 120), ('Tsu', 118), ('Ric', 116), ('Alo', 116), ('Mag', 113), ('Sai', 112), ('Sar', 109), ('Vot', 109), ('Hul', 108), ('Per', 104), ('Lan', 102), ('Lec', 99), ('Rus', 96), ('Gas', 94), ('Pia', 93), ('Alb', 85), ('Gua', 84), ('Str', 75)]"
552,"[('Ver', 676), ('Per', 124), ('Gua', 121), ('Sai', 119), ('Ric', 119), ('Gas', 118), ('Alo', 117), ('Mag', 116), ('Lec', 115), ('Hul', 115), ('Alb', 114), ('Sar', 114), ('Str', 108), ('Tsu', 99), ('Oco', 97), ('Lan', 95), ('Rus', 94), ('Ham', 81), ('Vot', 77), ('Pia', 33)]"
552,"[('Ver', 676), ('Ric', 124), ('Mag', 122), ('Tsu', 120), ('Vot', 119), ('Lan', 118), ('Alb', 116), ('Oco', 109), ('Alo', 106), ('Sai', 104), ('Str', 104), ('Sar', 104), ('Lec', 99), ('Pia', 97), ('Rus', 96), ('Hul', 95), ('Ham', 94), ('Gas', 92), ('Gua', 82), ('Per', 75)]"
552,"[('Ver', 676), ('Lec', 124), ('Hul', 124), ('Pia', 123), ('Lan', 122), ('Alb', 122), ('Ric', 118), ('Gua', 116), ('Sai', 113), ('Oco', 108), ('Rus', 105), ('Str', 103), ('Alo', 100), ('Ham', 99), ('Tsu', 99), ('Per', 97), ('Gas', 93), ('Sar', 74), ('Vot', 72), ('Mag', 64)]"
552,"[('Ver', 676), ('Str', 124), ('Ric', 121), ('Sar', 118), ('Lan', 115), ('Mag', 115), ('Vot', 115), ('Pia', 112), ('Lec', 110), ('Ham', 110), ('Hul', 109), ('Tsu', 108), ('Per', 107), ('Alb', 107), ('Rus', 99), ('Gua', 98), ('Gas', 87), ('Sai', 76), ('Alo', 75), ('Oco', 70)]"
552,"[('Ver', 676), ('Sar', 124), ('Alb', 123), ('Gas', 118), ('Tsu', 117), ('Vot', 117), ('Hul', 113), ('Ham', 111), ('Lan', 110), ('Pia', 108), ('Oco', 108), ('Per', 107), ('Mag', 107), ('Ric', 106), ('Rus', 103), ('Lec', 100), ('Sai', 92), ('Str', 83), ('Alo', 77), ('Gua', 52)]"
552,"[('Ver', 676), ('Ric', 124), ('Gua', 124), ('Alo', 122), ('Tsu', 120), ('Lan', 118), ('Pia', 114), ('Hul', 114), ('Sai', 112), ('Alb', 109), ('Vot', 107), ('Ham', 102), ('Rus', 101), ('Sar', 101), ('Oco', 93), ('Mag', 90), ('Gas', 89), ('Per', 87), ('Str', 76), ('Lec', 73)]"
552,"[('Ver', 676), ('Vot', 124), ('Ric', 122), ('Alo', 121), ('Mag', 120), ('Oco', 120), ('Alb', 116), ('Per', 115), ('Sar', 113), ('Hul', 111), ('Gua', 110), ('Ham', 107), ('Lec', 102), ('Lan', 100), ('Gas', 93), ('Pia', 89), ('Rus', 85), ('Str', 80), ('Sai', 76), ('Tsu', 72)]"
552,"[('Ver', 676), ('Vot', 124), ('Per', 123), ('Hul', 119), ('Ham', 118), ('Rus', 117), ('Pia', 115), ('Ric', 113), ('Gas', 113), ('Str', 112), ('Gua', 107), ('Lec', 104), ('Sar', 104), ('Alo', 102), ('Alb', 98), ('Oco', 95), ('Lan', 90), ('Sai', 77), ('Tsu', 73), ('Mag', 72)]"
552,"[('Ver', 676), ('Alo', 124), ('Str', 123), ('Pia', 121), ('Gas', 119), ('Per', 118), ('Tsu', 118), ('Ham', 114), ('Lec', 112), ('Gua', 110), ('Sar', 106), ('Rus', 101), ('Alb', 96), ('Vot', 96), ('Lan', 95), ('Mag', 92), ('Sai', 90), ('Ric', 89), ('Hul', 79), ('Oco', 73)]"
551,"[('Ver', 676), ('Tsu', 125), ('Vot', 123), ('Hul', 119), ('Gas', 119), ('Ham', 116), ('Alo', 116), ('Per', 114), ('Gua', 111), ('Alb', 110), ('Ric', 107), ('Str', 107), ('Sar', 102), ('Oco', 97), ('Pia', 93), ('Mag', 89), ('Lec', 87), ('Lan', 85), ('Rus', 81), ('Sai', 75)]"
551,"[('Ver', 676), ('Rus', 125), ('Mag', 122), ('Oco', 121), ('Ric', 117), ('Per', 115), ('Ham', 115), ('Hul', 115), ('Sai', 112), ('Pia', 109), ('Gas', 109), ('Lan', 108), ('Str', 108), ('Vot', 104), ('Tsu', 103), ('Lec', 96), ('Gua', 95), ('Alo', 78), ('Sar', 68), ('Alb', 56)]"
551,"[('Ver', 676), ('Ric', 125), ('Per', 124), ('Str', 124), ('Gas', 124), ('Alo', 114), ('Oco', 112), ('Rus', 111), ('Sai', 110), ('Gua', 110), ('Pia', 107), ('Tsu', 107), ('Vot', 101), ('Lan', 98), ('Hul', 98), ('Lec', 93), ('Sar', 88), ('Ham', 83), ('Alb', 74), ('Mag', 73)]"
551,"[('Ver', 676), ('Oco', 125), ('Ham', 123), ('Mag', 122), ('Str', 121), ('Lec', 119), ('Sai', 117), ('Tsu', 117), ('Alo', 117), ('Hul', 117), ('Per', 108), ('Ric', 108), ('Vot', 97), ('Sar', 96), ('Pia', 94), ('Lan', 87), ('Gua', 86), ('Alb', 80), ('Gas', 72), ('Rus', 70)]"
551,"[('Ver', 676), ('Mag', 125), ('Hul', 122), ('Alo', 119), ('Ham', 117), ('Vot', 114), ('Pia', 112), ('Sar', 111), ('Ric', 108), ('Str', 107), ('Gas', 106), ('Oco', 104), ('Per', 103), ('Lec', 102), ('Lan', 95), ('Gua', 92), ('Alb', 91), ('Rus', 84), ('Tsu', 84), ('Sai', 80)]"
551,"[('Ver', 676), ('Gua', 125), ('Pia', 124), ('Ham', 118), ('Sar', 118), ('Tsu', 116), ('Lan', 115), ('Str', 114), ('Vot', 111), ('Hul', 110), ('Gas', 110), ('Oco', 106), ('Rus', 99), ('Per', 94), ('Sai', 94), ('Alo', 93), ('Alb', 93), ('Ric', 87), ('Mag', 87), ('Lec', 62)]"
551,"[('Ver', 676), ('Tsu', 125), ('Rus', 124), ('Per', 123), ('Lec', 120), ('Ric', 117), ('Ham', 116), ('Lan', 115), ('Pia', 111), ('Oco', 111), ('Sai', 106), ('Alo', 105), ('Hul', 102), ('Mag', 101), ('Gua', 100), ('Sar', 95), ('Alb', 94), ('Str', 77), ('Vot', 69), ('Gas', 65)]"
551,"[('Ver', 676), ('Gua', 125), ('Alb', 123), ('Sai', 118), ('Lec', 116), ('Tsu', 115), ('Sar', 115), ('Vot', 115), ('Str', 111), ('Hul', 109), ('Mag', 103), ('Pia', 102), ('Rus', 100), ('Gas', 99), ('Oco', 95), ('Per', 92), ('Alo', 92), ('Lan', 88), ('Ric', 86), ('Ham', 72)]"
551,"[('Ver', 676), ('Per', 125), ('Gua', 123), ('Hul', 122), ('Sai', 120), ('Lec', 120), ('Sar', 120), ('Tsu', 119), ('Alo', 118), ('Oco', 115), ('Alb', 104), ('Ham', 103), ('Lan', 96), ('Rus', 95), ('Pia', 93), ('Str', 87), ('Gas', 85), ('Mag', 83), ('Vot', 76), ('Ric', 72)]"
551,"[('Ver', 676), ('Ham', 125), ('Alo', 125), ('Ric', 122), ('Gua', 122), ('Rus', 118), ('Sar', 118), ('Lec', 116), ('Per', 114), ('Oco', 113), ('Sai', 108), ('Alb', 108), ('Gas', 108), ('Vot', 100), ('Hul', 98), ('Mag', 98), ('Pia', 92), ('Tsu', 85), ('Lan', 80), ('Str', 26)]"
551,"[('Ver', 676), ('Vot', 125), ('Ric', 123), ('Lan', 119), ('Pia', 118), ('Hul', 116), ('Ham', 115), ('Str', 115), ('Gua', 111), ('Oco', 108), ('Alb', 105), ('Alo', 103), ('Mag', 102), ('Gas', 102), ('Tsu', 98), ('Per', 89), ('Sai', 89), ('Rus', 88), ('Sar', 86), ('Lec', 64)]"
551,"[('Ver', 676), ('Ham', 125), ('Alo', 123), ('Mag', 120), ('Pia', 118), ('Sai', 116), ('Gas', 116), ('Lan', 113), ('Ric', 113), ('Sar', 113), ('Rus', 109), ('Str', 103), ('Per', 102), ('Lec', 101), ('Oco', 98), ('Alb', 89), ('Hul', 88), ('Vot', 87), ('Gua', 83), ('Tsu', 59)]"
551,"[('Ver', 676), ('Alb', 125), ('Alo', 124), ('Hul', 122), ('Tsu', 118), ('Per', 117), ('Vot', 117), ('Ham', 115), ('Pia', 115), ('Sai', 110), ('Str', 108), ('Ric', 103), ('Mag', 99), ('Lec', 98), ('Gas', 98), ('Sar', 96), ('Oco', 95), ('Lan', 88), ('Gua', 72), ('Rus', 56)]"
551,"[('Ver', 676), ('Ham', 125), ('Lec', 124), ('Pia', 122), ('Rus', 120), ('Alo', 120), ('Per', 115), ('Sai', 111), ('Mag', 110), ('Tsu', 108), ('Alb', 108), ('Gas', 108), ('Lan', 107), ('Str', 106), ('Hul', 106), ('Vot', 105), ('Ric', 76), ('Sar', 75), ('Oco', 65), ('Gua', 65)]"
551,"[('Ver', 676), ('Lec', 125), ('Mag', 124), ('Sai', 120), ('Tsu', 118), ('Pia', 116), ('Alb', 114), ('Rus', 113), ('Oco', 112), ('Alo', 109), ('Str', 107), ('Hul', 105), ('Vot', 105), ('Ham', 102), ('Gua', 100), ('Per', 89), ('Lan', 89), ('Ric', 87), ('Gas', 83), ('Sar', 58)]"
